index,titulo,empresa,ubicacion,salario,modalidad,jornada,categoria,seniority,vacantes,descripcion,url
1,ANALISTA DE DATOS / CUENCA / QUITO,Celyasa,"Cuenca, Azuay, Ecuador",,Presencial,"Full-time, Indeterminado",,Senior,1 vacante disponible,"Transformar datos en información clara y oportuna para la toma de decisiones, a través del diseño y desarrollo de dashboards y reportes en Power BI, asegurando la correcta interpretación de los indicadores clave de la organización.
Responsabilidades principales:
Diseñar y desarrollar dashboards interactivos y reportes ejecutivos en Power BI.
Levantar y documentar requerimientos de KPIs y métricas con las áreas de negocio.
Analizar la información proveniente de distintas fuentes y garantizar su consistencia y confiabilidad.
Colaborar con el Data Engineer en la validación y optimización de datasets y modelos de datos.
Implementar seguridad a nivel de usuarios y roles (RLS) en Power BI.
Realizar presentaciones ejecutivas de resultados a gerencia y líderes de área.
Contribuir a la mejora continua en procesos de reporting y análisis de datos.
Requisitos
Formación académica: Ingeniería en Sistemas, Informática, Estadística, Economía o afines.
Experiencia mínima: 2 a 3 años en cargos de análisis de datos o BI.
Dominio de Power BI (DAX, Power Query, modelado de datos).
Conocimientos en SQL para consultas y validación de información.
Experiencia en levantamiento de requerimientos con áreas de negocio.
Deseable: conocimientos en ETL, Data Warehouse o bases de datos relacionales.
Ofrecemos
Sueldo competitivo según experiencia.
Seguro médico de salud
Oportunidad de crecimiento profesional en el área de BI y Ciencia de Datos.
Pertenecer a una organización sólida y en expansión. Transformar datos en información clara y oportuna para la toma de decisiones, a través del diseño y desarrollo de dashboards y reportes en Power BI, asegurando la correcta interpretación de los indicadores clave de la organización. Responsable de coordinar los procesos del ciclo de vida del producto, desde el seguimiento de la compra hasta la venta, incorporando planeación de la demanda, conocimiento del mercado, análisis de inventario, estudio de precios, competencia y seguimiento de venta, con el fin de incrementar la ... Grupo EOS tiene más de 80 años en el mercado de insumos y equipos médicos. Siendo líderes a nivel nacional en instalación, mantenimiento preventivo y correctivo de equipos y provisión de insumos médicos. Nos diferenciamos por el compromiso y dedicación al mejoramiento de la calidad de salud. ¿Qué ... OBJETIVO DEL PUESTO:Incrementar las ventas de la empresa mediante la planeación dirección y supervisión de la fuerza comercial, implementando estrategias efectivas de prospección, sectorización y seguimiento a clientes y vendedores, aseurando el cumplimiento de los objetivos de rentabilidad y ... Asegurar el respaldo técnico y operativo en el área de fianzas mediante la organización de carpetas de calificación, seguimiento de renovaciones, actas y garantías, brindando soporte comercial y garantizando procesos eficientes y oportunos para la emisión de pólizas con un servicio ... Especialista de Riesgos CrediticiosÚnete como Especialista de Riesgos Crediticios y contribuye a la gestión efectiva de riesgos financieros en un entorno colaborativo e innovador.Principales responsabilidades Evaluar y analizar riesgos crediticios de clientes potenciales. Asignar cartera para cada ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo. Corporación Ecuatoriana de Licores y Alimentos S.A, conocida comercialmente como CELYASA, es una destacada empresa ecuatoriana con sede principal en Cuenca, Azuay. Fundada el 3 de junio de 1985, CELYASA ha establecido una sólida presencia en el sector de bebidas alcohólicas y alimentos, con una trayectoria de más de 38 años en el mercado. La compañía se especializa en la comercialización al por mayor de cerveza, vino y otras bebidas alcohólicas, así como en la distribución de productos alimenticios.
CELYASA opera principalmente como comerciante al por mayor de bebidas alcohólicas. Su portafolio de productos incluye una amplia gama de bebidas alcohólicas y no alcohólicas, con una notable representación de marcas nacionales e importadas. Entre las marcas nacionales destacadas se encuentran Licor Cristal, Vodka Myst, Agua Imperial, Whisky Black Casttle, Ron 100 Fuegos, entre otras.
CELYASA cuenta con una red de distribución que cubre todo el territorio ecuatoriano. La empresa tiene agenc",https://www.multitrabajos.com/empleos/analista-de-datos-cuenca-quito-celyasa-1117932665.html
2,Analista de Inteligencia de Negocios y Análisis de Datos,,"Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,1 vacante disponible,"¡Únete a nosotros!
Importante empresa comercial busca Analista de Inteligencia de Negocios y Análisis de Datos para impulsar el crecimiento de la marca.
Lugar: Quito
Perfil:
Profesionales de las carreras de: Administración de Empresas o carreras afines.
Experiencia mínima de un año en cargos similares (indispensable).
Persona: proactiva, organizada, comprometida, con orientación a resultados.
Nivel de Excel avanzado (comprobable).
Nivel de Ingles intermedio-avanzado.
Conocimientos en SAP, BI (deseable). Importante empresa comercial busca Analista de Inteligencia de Negocios y Análisis de Datos para impulsar el crecimiento de la marca. Responsable de coordinar los procesos del ciclo de vida del producto, desde el seguimiento de la compra hasta la venta, incorporando planeación de la demanda, conocimiento del mercado, análisis de inventario, estudio de precios, competencia y seguimiento de venta, con el fin de incrementar la ... Grupo EOS tiene más de 80 años en el mercado de insumos y equipos médicos. Siendo líderes a nivel nacional en instalación, mantenimiento preventivo y correctivo de equipos y provisión de insumos médicos. Nos diferenciamos por el compromiso y dedicación al mejoramiento de la calidad de salud. ¿Qué ... OBJETIVO DEL PUESTO:Incrementar las ventas de la empresa mediante la planeación dirección y supervisión de la fuerza comercial, implementando estrategias efectivas de prospección, sectorización y seguimiento a clientes y vendedores, aseurando el cumplimiento de los objetivos de rentabilidad y ... Asegurar el respaldo técnico y operativo en el área de fianzas mediante la organización de carpetas de calificación, seguimiento de renovaciones, actas y garantías, brindando soporte comercial y garantizando procesos eficientes y oportunos para la emisión de pólizas con un servicio ... Especialista de Riesgos CrediticiosÚnete como Especialista de Riesgos Crediticios y contribuye a la gestión efectiva de riesgos financieros en un entorno colaborativo e innovador.Principales responsabilidades Evaluar y analizar riesgos crediticios de clientes potenciales. Asignar cartera para cada ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/analista-de-inteligencia-de-negocios-y-analisis-de-datos-1117961062.html
3,ANALISTA DE DATOS,"ALESPALMA S.A., es una Empresa agrícola dedicada al cultivo de palma aceitera, comprometida con el desarrollo de procesos productivos fundamentados en la mejora continua y compromiso permanente de nuestros colaboradores, para generar rentabilidad con responsabilidad social y ambiental dentro de un marco legal, para llegar a la sostenibilidad.La Compañía se constituyó el día 19 de octubre de 1998 y debidamente aprobada en el Registro Mercantil el día 09 de diciembre de 1998.La Compañía tiene su domicilio legal en la ciudad de San Lorenzo, su administración en la ciudad de Quito y la plantación y extractora de palma aceitera se encuentra ubicada en el Cantón San Lorenzo, Provincia de Esmeraldas.Plantación San Lorenzo busca un Operador de Báscula responsable, proactivo y con orientación al detalle para unirse a nuestro equipo. El candidato será encargado de realizar el pesaje de vehículos, registrar entradas y salidas de materia prima, y garantizar la precisión en los reportes de control de producción. Despacho de aceite (pesaje, órdenes de venta, guías). Venta y control de subproductos (lodo, raquis picado). Actualización de precios y soporte a sistemas BASC. Manejo y rastreo de vehículos que transportan fruta. Recopilación y validación de documentos de transportistas.Requisitos: Estudios superiores en Administración, Contabilidad y Auditoría o carreras afines. 1 año de experiencia en el cargo. Conocimientos Office Disponibilidad para residir en San Lorenzo- Esmeraldas (plantación).Beneficios Seguro de atención medica Seguro de vida Vivienda en San Lorenzo (Campamento) Alimentación Transporte","Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",Programación,Semi Sr,1 vacante disponible,"INDUSTRIAS ALES es una empresa dedicada a la producción y comercialización de productos de consumo masivo e industriales. Desde nuestro origen en 1943, estamos presentes en los hogares ecuatorianos con productos de alta calidad dirigidos a mejorar la vida de las familias en cada momento de su día.

Nuestro portafolio incluye marcas locales ampliamente valoradas y reconocidas como Ales en Jabones y Alesol en Aceites &amp; Mantecas. Además, comercializamos en el territorio nacional marcas líderes globales y regionales en las categorías de Cuidado Personal (H&amp;S, Pantene, Guillette, Oral B, entro otras), Cuidado del Hogar (FAB), vía alianzas estratégicas con Procter &amp; Gamble e Industrias La Popular, respectivamente.

En Industrias Ales promovemos un ambiente de trabajo fuertemente sustentado por los valores de integridad, orientación a resultados, trabajo en equipo y compromiso con nuestros clientes y proveedores. El 95.5% de profesionales recomiendan trabajar en esta empresa",https://www.multitrabajos.com/empleos/analista-de-datos-industrias-ales-c.a.-1117958394.html
4,ANALISTA DE DATOS / QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,2 vacantes disponibles,El 69.6% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/analista-de-datos-quito-eficacia-1117964104.html
5,Analista de Datos y Estadísticas,,"Guayaquil, Guayas, Ecuador",De $500 A $550 Por Mes,Presencial,Full-time,Desarrollo de Negocios,No especificado,1 vacante disponible,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/analista-de-datos-y-estadisticas-lan-1117963431.html
6,Analista Prevención de Fraudes (Análisis de Datos),,"Guayaquil, Guayas, Ecuador",,Presencial,Full-time,,Senior / Semi-Senior,1 vacante disponible,El 87.0% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/analista-prevencion-de-fraudes-analisis-de-datos-banco-bolivariano-1117977645.html
7,Analista de Datos Maestros,,"Guayas, Guayas, Ecuador",,Presencial,"Full-time, Indeterminado",,Semi Sr,1 vacante disponible,"Apoyar en la gestión, creación, validación y mantenimiento de los datos maestros de la organización, asegurando su calidad, integridad y disponibilidad oportuna para los procesos operativos y estratégicos, brindando soporte a los usuarios internos bajo los estándares definidos.
Atender solicitudes de creación, modificación y bloqueo de datos maestros conforme a los procesos establecidos.
Validar y cargar información en el sistema, garantizando exactitud y consistencia.
Ejecutar controles de calidad de datos, identificando y corrigiendo errores.
Documentar procedimientos y mantener actualizados los formularios de gestión de datos.
Dar soporte en procesos de cierre contable, logístico y productivo relacionados con datos maestro
Proporcionar asesoría a usuarios internos sobre la correcta gestión de datos.
Colaborar en iniciativas de mejora continua en procesos de administración de datos maestros.
Generar reportes periódicos de gestión y cumplimiento de SLA. Apoyar en la gestión, creación, validación y mantenimiento de los datos maestros de la organización, asegurando su calidad, integridad y disponibilidad oportuna para los procesos operativos y estratégicos, brindando soporte a los usuarios internos bajo los estándares definidos. Nos encontramos en la busqueda de un Analista BI responsable de desarrollar reportes y dashboards en base a los requerimientos de los usuarios, aseguramiento óptimo del rendimiento de la plataforma. Capacitación a usuarios finales.Funciones Principales:-Diseñar, construir y mantener pipelines de ... Buscamos un Ingeniero de Datos con amplia experiencia en el ciclo completo de desarrollo de soluciones de información, incluyendo análisis, diseño, desarrollo, certificación, despliegue y mantenimiento, en entornos OnPremise y tecnologías Big Data. El candidato ideal debe demostrar sólidos ... ¿Te entusiasma el análisis de datos y la detección de patrones y tendencias? Estamos en busca de un Analista de Información con experiencia en análisis, elaboración de informes y visualización de datos.Requisitos: Profesional con título en áreas como Ingeniería en Sistemas, Ingeniería de Datos, ... Importante Industria alimenticia desea contratarAnalista BI (Business Intelligence) para la Cuidad de Quevedo.FUNCIÓNES GENERALESEl analista de inteligencia empresarial o business intelligence (BI) es el profesional encargado tanto de la recopilación como del análisis de información y datos de ... En Supermercados Santa María buscamos un Delegado de Protección de Datos para la ciudad de Quito. Este rol es estratégico para garantizar el manejo responsable de la información a nivel general, asegurando el cumplimiento de las normativas de protección de datos.FORMACIÓNProfesional en Derecho o ... El contenido de este aviso es propiedad del anunciante. Los requisitos de la posición son definidos y administrados por el anunciante sin que Multitrabajos sea responsable por ello. Bajo ningún motivo envíes dinero o realices pagos. Ningún reclutador te pedirá pagar por rendir un test, prueba, capacitación, recibir un antecedente u otro motivo.",https://www.multitrabajos.com/empleos/analista-de-datos-maestros-1117979794.html
8,ANALISTA DE BASE DE DATOS/ QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Híbrido,Full-time,,Senior / Semi-Senior,1 vacante disponible,El 69.6% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/analista-de-base-de-datos-quito-eficacia-1118009835.html
9,ANALISTA DE BASE DE DATOS/ QUITO,EFICACIA,"Quito, Pichincha, Ecuador",,Híbrido,"Full-time, Indeterminado",,Senior,1 vacante disponible,El 69.6% de profesionales recomiendan trabajar en esta empresa,https://www.multitrabajos.com/empleos/analista-de-base-de-datos-quito-eficacia-1118010080.html
10,Analista de datos,CHENGYE CIA LTDA,"Machala, El Oro, Ecuador",,Presencial,Full-time,,Senior / Semi-Senior,1 vacante disponible,Te invitamos a compartir tu opinión sobre esta empresa,https://www.multitrabajos.com/empleos/analista-de-datos-chengye-cia-ltda-1117997293.html
